freq (Hz),dB20(VF("/vout")/VF("/vin")) (dB)
1.000,67.09
1.047,67.09
1.096,67.09
1.148,67.09
1.202,67.09
1.259,67.10
1.318,67.10
1.380,67.10
1.445,67.10
1.514,67.10
1.585,67.10
1.660,67.10
1.738,67.10
1.820,67.10
1.905,67.10
1.995,67.10
2.089,67.10
2.188,67.10
2.291,67.10
2.399,67.10
2.512,67.10
2.630,67.10
2.754,67.10
2.884,67.10
3.020,67.10
3.162,67.10
3.311,67.10
3.467,67.10
3.631,67.10
3.802,67.10
3.981,67.10
4.169,67.10
4.365,67.10
4.571,67.10
4.786,67.10
5.012,67.10
5.248,67.10
5.495,67.10
5.754,67.10
6.026,67.10
6.310,67.10
6.607,67.10
6.918,67.10
7.244,67.10
7.586,67.10
7.943,67.10
8.318,67.10
8.710,67.10
9.120,67.10
9.550,67.10
10.00,67.10
10.47,67.10
10.96,67.10
11.48,67.10
12.02,67.10
12.59,67.10
13.18,67.10
13.80,67.10
14.45,67.10
15.14,67.10
15.85,67.10
16.60,67.10
17.38,67.10
18.20,67.10
19.05,67.10
19.95,67.10
20.89,67.10
21.88,67.10
22.91,67.10
23.99,67.10
25.12,67.10
26.30,67.10
27.54,67.10
28.84,67.10
30.20,67.10
31.62,67.10
33.11,67.10
34.67,67.10
36.31,67.10
38.02,67.10
39.81,67.10
41.69,67.10
43.65,67.10
45.71,67.10
47.86,67.10
50.12,67.10
52.48,67.10
54.95,67.10
57.54,67.10
60.26,67.10
63.10,67.10
66.07,67.10
69.18,67.10
72.44,67.10
75.86,67.10
79.43,67.10
83.18,67.10
87.10,67.10
91.20,67.10
95.50,67.10
100.0,67.10
104.7,67.10
109.6,67.10
114.8,67.10
120.2,67.10
125.9,67.10
131.8,67.10
138.0,67.10
144.5,67.10
151.4,67.10
158.5,67.10
166.0,67.10
173.8,67.10
182.0,67.10
190.5,67.10
199.5,67.10
208.9,67.10
218.8,67.10
229.1,67.10
239.9,67.10
251.2,67.10
263.0,67.10
275.4,67.10
288.4,67.10
302.0,67.10
316.2,67.10
331.1,67.10
346.7,67.10
363.1,67.10
380.2,67.10
398.1,67.10
416.9,67.10
436.5,67.10
457.1,67.10
478.6,67.10
501.2,67.10
524.8,67.10
549.5,67.10
575.4,67.10
602.6,67.10
631.0,67.10
660.7,67.10
691.8,67.10
724.4,67.10
758.6,67.10
794.3,67.10
831.8,67.10
871.0,67.10
912.0,67.10
955.0,67.10
1.000E3,67.10
1.047E3,67.10
1.096E3,67.10
1.148E3,67.10
1.202E3,67.10
1.259E3,67.10
1.318E3,67.10
1.380E3,67.10
1.445E3,67.10
1.514E3,67.10
1.585E3,67.10
1.660E3,67.10
1.738E3,67.10
1.820E3,67.10
1.905E3,67.10
1.995E3,67.10
2.089E3,67.10
2.188E3,67.10
2.291E3,67.10
2.399E3,67.10
2.512E3,67.10
2.630E3,67.10
2.754E3,67.10
2.884E3,67.10
3.020E3,67.10
3.162E3,67.10
3.311E3,67.10
3.467E3,67.10
3.631E3,67.10
3.802E3,67.10
3.981E3,67.10
4.169E3,67.10
4.365E3,67.10
4.571E3,67.10
4.786E3,67.10
5.012E3,67.10
5.248E3,67.10
5.495E3,67.10
5.754E3,67.10
6.026E3,67.10
6.310E3,67.10
6.607E3,67.10
6.918E3,67.10
7.244E3,67.09
7.586E3,67.09
7.943E3,67.09
8.318E3,67.09
8.710E3,67.09
9.120E3,67.09
9.550E3,67.09
10.00E3,67.09
10.47E3,67.08
10.96E3,67.08
11.48E3,67.08
12.02E3,67.08
12.59E3,67.07
13.18E3,67.07
13.80E3,67.07
14.45E3,67.07
15.14E3,67.06
15.85E3,67.06
16.60E3,67.05
17.38E3,67.05
18.20E3,67.04
19.05E3,67.04
19.95E3,67.03
20.89E3,67.02
21.88E3,67.02
22.91E3,67.01
23.99E3,67.00
25.12E3,66.99
26.30E3,66.98
27.54E3,66.97
28.84E3,66.95
30.20E3,66.94
31.62E3,66.92
33.11E3,66.91
34.67E3,66.89
36.31E3,66.87
38.02E3,66.84
39.81E3,66.82
41.69E3,66.79
43.65E3,66.76
45.71E3,66.73
47.86E3,66.70
50.12E3,66.66
52.48E3,66.62
54.95E3,66.58
57.54E3,66.53
60.26E3,66.48
63.10E3,66.42
66.07E3,66.36
69.18E3,66.30
72.44E3,66.23
75.86E3,66.15
79.43E3,66.07
83.18E3,65.98
87.10E3,65.89
91.20E3,65.78
95.50E3,65.68
100.0E3,65.56
104.7E3,65.44
109.6E3,65.31
114.8E3,65.17
120.2E3,65.02
125.9E3,64.86
131.8E3,64.69
138.0E3,64.52
144.5E3,64.34
151.4E3,64.14
158.5E3,63.94
166.0E3,63.73
173.8E3,63.51
182.0E3,63.28
190.5E3,63.04
199.5E3,62.79
208.9E3,62.54
218.8E3,62.27
229.1E3,62.00
239.9E3,61.72
251.2E3,61.43
263.0E3,61.14
275.4E3,60.83
288.4E3,60.52
302.0E3,60.21
316.2E3,59.89
331.1E3,59.56
346.7E3,59.23
363.1E3,58.89
380.2E3,58.55
398.1E3,58.20
416.9E3,57.85
436.5E3,57.50
457.1E3,57.14
478.6E3,56.78
501.2E3,56.41
524.8E3,56.05
549.5E3,55.68
575.4E3,55.31
602.6E3,54.93
631.0E3,54.55
660.7E3,54.17
691.8E3,53.79
724.4E3,53.41
758.6E3,53.03
794.3E3,52.64
831.8E3,52.26
871.0E3,51.87
912.0E3,51.48
955.0E3,51.09
1.000E6,50.70
1.047E6,50.31
1.096E6,49.92
1.148E6,49.53
1.202E6,49.13
1.259E6,48.74
1.318E6,48.34
1.380E6,47.95
1.445E6,47.55
1.514E6,47.16
